City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,mae hong son,19.3003,97.9685,295.45,98,14,0.52,TH,1730060257
224,saint-marc,19.1082,-72.6938,302.08,74,99,3.56,HT,1730060090
225,mezica,46.5214,14.8544,285.81,93,2,1.47,SI,1730060260
226,puerto san jose,13.9256,-90.8244,303.12,66,67,3.96,GT,1730060261
227,poretskoye,55.1974,46.3291,277.63,88,88,1.02,RU,1730060262
228,saudarkrokur,65.7461,-19.6394,265.59,83,12,4.26,IS,1730060263
229,watari,38.035,140.8511,290.4,80,100,1.27,JP,1730060264
230,igarka,67.4667,86.5833,260.41,96,100,4.56,RU,1730060265
231,dongning,44.0622,131.1207,273.04,86,6,2.18,CN,1730060267
232,poronaysk,49.2167,143.1167,272.78,67,100,3.96,RU,1730060268
233,port mathurin,-19.6833,63.4167,296.86,80,2,5.83,MU,1730060269
234,riosucio,5.4216,-75.7032,297.28,70,100,1.79,CO,1730060270
235,new richmond,45.123,-92.5366,290.97,33,0,6.69,US,1730060271
236,tofol,5.3248,163.0078,302.02,68,59,1.54,FM,1730060272
237,sirte,31.2089,16.5887,294.64,67,2,6.31,LY,1730060273
238,namibe,-15.1961,12.1522,292.41,84,66,1.78,AO,1730060275
239,tindouf,27.6711,-8.1474,292.8,42,0,9.03,DZ,1730060276
240,saint croix,17.7397,-64.7388,303.4,75,0,5.66,VI,1730060277
241,grajau,-5.8194,-46.1386,310.41,21,2,2.46,BR,1730060278
242,karsiyang,26.8825,88.2773,290.21,90,6,1.39,IN,1730060282
243,blackwater,-23.5833,148.8833,293.54,100,92,2.7,AU,1730060283
244,altay,47.8667,88.1167,277.19,60,99,2.9,CN,1730060284
245,catio,11.2833,-15.25,299.8,85,89,2.95,GW,1730060285
246,konya,38.1667,32.5,279.86,51,0,0.43,TR,1730060286
247,bandar abbas,27.1865,56.2808,302.14,74,0,2.06,IR,1730060287
248,malibu,34.005,-118.8101,302.58,35,100,2.63,US,1730059705
249,pangai,-19.8,-174.35,299.21,73,75,2.57,TO,1730060290
250,ilulissat,69.2167,-51.1,263.16,44,0,5.14,GL,1730060291
251,kimbe,-5.5502,150.1429,297.1,90,4,1.88,PG,1730060292
252,aasiaat,68.7098,-52.8699,261.51,70,7,6.82,GL,1730060293
253,st. john's,47.5649,-52.7093,280.91,74,40,11.83,CA,1730060294
254,cidreira,-30.1811,-50.2056,292.51,54,0,4.49,BR,1730060295
255,sao joao da barra,-21.6403,-41.0511,296.2,75,100,8.35,BR,1730060297
256,al bawiti,28.3492,28.8659,293.08,61,0,6.97,EG,1730060298
257,vriddhachalam,11.5,79.3333,299.29,67,14,1.12,IN,1730060233
258,ust-nera,64.5667,143.2,252.94,99,95,2.04,RU,1730060300
259,san patricio,28.017,-97.5169,304.12,40,0,5.91,US,1730060301
260,egilsstadir,65.2653,-14.3948,270.1,86,75,1.54,IS,1730060302
261,mount pearl,47.5166,-52.7813,280.45,79,40,11.83,CA,1730060303
262,pustoshka,56.3355,29.369,281.72,80,100,2.35,RU,1730060305
263,kirensk,57.7853,108.1119,271.96,98,99,1.56,RU,1730060306
264,walterboro,32.9052,-80.6668,294.23,82,100,3.09,US,1730060307
265,yuzhno-kurilsk,44.0306,145.8556,286.42,98,100,1.25,RU,1730060308
266,tomatlan,19.9333,-105.25,306.62,41,0,2.4,MX,1730060309
267,constantia,44.1833,28.65,282.53,84,8,5.58,RO,1730060045
268,lompoc,34.6391,-120.4579,294.22,68,0,5.36,US,1730060311
269,boda,4.3189,17.4695,295.58,96,100,1.56,CF,1730060313
270,al kut,32.5147,45.819,293.91,17,0,6.09,IQ,1730060314
271,pokrovsk,48.282,37.1758,280.39,71,86,3.49,UA,1730060315
272,buala,-8.145,159.5921,300.13,85,97,3.99,SB,1730060316
273,queenstown,-31.8976,26.8753,284.2,47,2,11.54,ZA,1730060317
274,macia,-25.0269,33.0989,296.17,85,100,1.64,MZ,1730060318
275,zakamensk,50.3741,103.2863,274.16,79,100,0.81,RU,1730060320
276,vilyuysk,63.7553,121.6247,257.63,92,99,2.27,RU,1730060321
277,san pedro pochutla,15.7333,-96.4667,305.77,60,40,2.16,MX,1730060322
278,ajaccio,42.0,8.9167,288.54,94,0,3.09,FR,1730060323
